,price,year,km,title,location
414,469999,2017,61033, Audi Q5 5p Elite L4/2.0/t Aut ,Distrito Federal
415,152999,2014,37244, Renault Duster 5p Dynamique L4/2.0 Aut ,Distrito Federal
416,194999,2015,81161, Hyundai Ix35 4p Gls Nu 2.0 Mpi 6vel Manual 2wd ,Distrito Federal
417,267999,2014,100047, Bmw Serie 3 4p 320i Sport Line L4/2.0/t Aut ,Distrito Federal
418,262999,2014,62360, Bmw Serie 3 4p 320i Luxury Line L4/2.0/t Aut ,Distrito Federal
419,217999,2014,98483, Jeep Cherokee 5p Limited 4x2 L4/2.4 Aut ,Distrito Federal
420,254999,2012,38485, Toyota Sienna 5p Xle Aut Piel ,Distrito Federal
421,179999,2017,10148, Nissan Versa 4p Advance L4/1.6 Man ,Distrito Federal
422,164999,2015,61273, Seat Ibiza 5p Style L4/1.2/t Man ,Distrito Federal
423,237999,2016,77700, Volkswagen Golf 5p Comfortline L4/1.4/t Man ,Distrito Federal
424,312999,2018,19685, Mazda Mazda 3 4p Hatchback S Grand Touring L4/2.5 Aut ,Distrito Federal
425,247999,2018,38927, Honda City 4p Ex L4/1.5 Aut ,Distrito Federal
426,189999,2014,59683, Volkswagen Jetta 4p Sport L5/2.5 Aut ,Distrito Federal
427,267999,2017,47019, Nissan Sentra 4p Sr L4/1.8 Man ,Distrito Federal
428,179999,2017,46899, Nissan Versa 4p Drive L4/1.6 Aut ,Distrito Federal
429,224999,2015,93627, Volkswagen Golf 5p Comfortline L4/1.4/t Aut P7 Qc ,Distrito Federal
430,222999,2016,55326, Volkswagen Beetle 2p Allstar L5/2.5 Aut ,Distrito Federal
431,159999,2014,56526, Volkswagen Polo 5p Highline L4/1.2/t Aut ,Distrito Federal
432,322999,2017,35387, Nissan X-trail 5p Exclusive 3 L4/2.5 Aut Banca Abatible ,Distrito Federal
433,127999,2013,55317, Nissan Versa 4p Sense 5vel ,Distrito Federal
434,299999,2015,37298, Mazda Cx-9 5p Grand Touring V6/3.7 Aut Awd ,Distrito Federal
435,149999,2015,68283, Peugeot 208 5p Allure L4/1.6 Man ,Distrito Federal
436,149999,2010,89377, Toyota Sienna 5p Ce Aut ,Distrito Federal
437,159999,2016,85786, Ford Fiesta 5p S Hb L4/1.6 Man ,Distrito Federal
438,204999,2014,73036, Chevrolet Trax 5p Ltz L4/1.8 Aut ,Distrito Federal
439,332999,2017,10561, Audi A3 4p Sedan Dynamic L4/2.0/t Aut ,Distrito Federal
440,152999,2016,52264, Fiat Uno 5p Sporting L4/1.4 Man ,Distrito Federal
441,344999,2016,36609, Volkswagen Golf Gti L4/2.0 Aut ,Distrito Federal
442,414999,2015,87784, Toyota Sienna 5p Xle V6/3.5 Aut Q/c Piel ,Distrito Federal
443,122999,2013,97131, Nissan Versa 4p Advance 5vel ,Distrito Federal
444,219999,2018,16924, Hyundai Accent 4p Gl Mid L4/1.6 Man ,Distrito Federal
445,152999,2016,52402, Nissan Versa 4p Sense L4/1.6 Man ,Distrito Federal
446,187999,2014,54373, Jeep Patriot 5p Sport L4/2.4 Aut ,Distrito Federal
447,119999,2014,38486, Ford Ikon 5p Ambiente L4/1.6 Man ,Distrito Federal
448,189999,2015,53480, Chevrolet Cruze 4 Pts. 1.4 Turbo F At ,Distrito Federal
449,289999,2015,64119, Jeep Cherokee 5p Limited Premium 4x2 L4/2.4 Aut ,Distrito Federal
450,189999,2013,84629, Ford Fusion 4p Se Luxury Plus L4 Qc Nave ,Distrito Federal
451,172999,2018,22664, Fiat Uno 5p Way L4/1.4 Man ,Distrito Federal
452,197999,2017,31603, Toyota Avanza 5p Premium L4/1.5 Man ,Distrito Federal
453,219999,2015,37242, Jeep Compass Latitud 4x2 L4/2.4 Aut C/cam Y B/a ,Distrito Federal
454,252999,2015,71852, Mazda Mazda 6 4p I Grand Touring Plus L4/2.5 Aut ,Distrito Federal
455,202999,2015,49428, Jeep Patriot 5p Latitud L4/2.4 Aut ,Distrito Federal
456,227999,2016,70911, Seat Leon 3p Connect L4/1.4/t Man ,Distrito Federal
457,242999,2016,37219, Volkswagen Passat 4p Sportline L5/2.5 Aut ,Distrito Federal
458,162999,2016,40506, Seat Ibiza 5p Reference Blitz L4/1.6 Man Qc ,Distrito Federal
459,372999,2017,37686, Honda Cr-v 5p Turbo Plus L4/1.5/t Aut ,Distrito Federal
460,229999,2016,65238, Ford Fusion 4p Se Luxury L4/2.0/t Aut ,Distrito Federal
461,219999,2016,48648, Volkswagen Beetle 3 Pts. Sportline Std. ,Distrito Federal
462,152999,2017,34053, Hyundai Grand I10 4p Gls L4/1.2 Man ,Distrito Federal
463,204999,2017,55332, Nissan Sentra 4p Sense L4/1.8 Aut ,Distrito Federal
464,344999,2017,53589, Toyota Prius 5p Base Hibrido L4/1.8 Aut ,Distrito Federal
465,134999,2010,101630, Chrysler Town & Country 5p Signature Series Aut ,Distrito Federal
466,212999,2013,74561, Dodge Journey 5p Rt V6 3.6l Aut 7 Pas ,Distrito Federal
467,122999,2015,79513, Chevrolet Spark 5p Byte L4/1.2 Man ,Distrito Federal
468,179999,2016,64792, Toyota Yaris 4p Sedán Core L4/1.5 Man ,Distrito Federal
469,199999,2015,91180, Mazda Mazda 3 5p Hatchback I Touring L4/2.0 Man ,Distrito Federal
470,177999,2017,40197, Nissan Versa 4p Advance L4/1.6 Man ,Distrito Federal
471,194999,2017,41815, Nissan Sentra 4p Advance L4/1.8 Man ,Distrito Federal
472,187999,2014,108909, Jeep Compass 5p Latitud 4x2 L4/2.4 Man ,Distrito Federal
473,147999,2017,27074, Chevrolet Spark 5p Activ L4/1.4 Man ,Distrito Federal
474,149999,2012,100057, Mazda Mazda 3 4p S 2.5l 6vel Q/c Abs R-17 ,Distrito Federal
475,212999,2015,64948, Jeep Compass Latitud 4x2 L4/2.4 Aut C/cam Y B/a ,Distrito Federal
476,282999,2017,45618, Chevrolet Trax 5p Premier L4/1.8 Aut ,Distrito Federal
477,469999,2018,30098, Bmw X1 5p Sdrive 20i M Sport Line L4/2.0/t Aut ,Distrito Federal
478,384999,2017,30532, Alfa Romeo Giulietta 5p Hb Giulietta Veloce L4/1.8 Man ,Distrito Federal
479,227999,2016,29537, Suzuki Vitara 5p Gls L4/1.6 Aut ,Distrito Federal
480,332999,2016,59620, Audi Q3 5p Luxury L4/1.4/t Aut ,Distrito Federal
481,284999,2014,84419, Audi Q3 5p Elite L4/2.0/t Aut ,Distrito Federal
482,162999,2015,51484, Peugeot 208 3p Feline L4/1.6 Man ,Distrito Federal
483,162999,2013,92580, Chevrolet Trax 5p Lt 1.8 Aut 6vel. ,Distrito Federal
484,289999,2016,58608, Chevrolet Equinox 4p Ltz L4/2.4 Aut ,Distrito Federal
485,189999,2013,84376, Ford Escape 5p Se Plus Aut Piel ,Distrito Federal
486,132999,2015,99027, Nissan March 5p Advance L4/1.6 Man ,Distrito Federal
487,214999,2015,77036, Chevrolet Trax 5p Ltz L4/1.8 Aut ,Distrito Federal
488,317999,2018,19629, Mazda Mazda 3 4p Hatchback S Grand Touring L4/2.5 Aut ,Distrito Federal
489,289999,2016,87721, Mazda Cx-5 5p Grand Touring I L4/2.0 Aut ,Distrito Federal
490,177999,2017,19364, Volkswagen Polo 5p L4/1.6 Man ,Distrito Federal
491,197999,2015,43213, Volkswagen Jetta Sportlline L5/2.5 Aut ,Distrito Federal
492,274999,2014,66605, Toyota Sienna 5p Le V6/3.5 Aut ,Distrito Federal
493,272999,2017,24199, Nissan Kicks 5p Exclusive L4/1.6 Aut ,Distrito Federal
494,214999,2015,91307, Volkswagen Golf 5p Comfortline L4/1.4/t Man P2 Qc ,Distrito Federal
495,292999,2017,44647, Mazda Cx-3 5p I Grand Touring L4/2.0 Aut ,Distrito Federal
496,119999,2017,46241, Chevrolet Spark 5p Activ L4/1.4 Man ,Distrito Federal
